id,section,you_have,choose,entry_point,dont_choose,keywords
button-03,button,A row of 2-3 SEPARATE actions side by side (Cancel · Save),ButtonGroup,items[] + size at the CLUSTER level,ButtonRadioGroup if the row carries a SELECTED state,"button group, button row, cancel and save buttons, action button row, side by side buttons, button pair, multiple buttons in a row, grouped buttons, two or three actions row"
button-04,button,"A row of CONFIG/FILTER buttons, press-to-SELECT, wraps onto new lines",ButtonRadioGroup,items[] + value/onChange (or values/onToggle) + itemAction,ChoiceRadioGroup if this is a field with a label/error,"filter buttons, toggle button group, segmented control, pill filter row, selectable button row, filter chips row, button group with selection, config button row, wrapping filter buttons, press to select buttons"
button-05,button,"A ROW of same-shaped suggestion buttons (sample-question chips, quick-ask)",ChipButtonList (composites/buttons),items[] + direction: wrap|column,"ButtonGroup — this is a uniform row, not 2-3 different roles","suggestion chips, quick reply buttons, sample question chips, prompt suggestions row, quick ask buttons, suggested actions list, chip button list, suggestion pills, quick question buttons"
button-06,button,A FLOATING round button in the bottom-right corner that opens an overlay,FloatingActionButton,icon (bare) + ariaLabel + onPress,Button isIconOnly — a FAB hardcodes fixed + shadow + z-index,"floating action button, fab, round floating button, bottom right button, floating add button, corner button, floating circle button, floating overlay trigger, sticky round button"
button-07,button,A box that LOOKS like a field but clicking opens a command palette,InputButtonLike,placeholder + icon + suffix + onPress,InputSearch — this one holds no value at all,"fake input button, command palette trigger, search bar that opens a palette, input-styled button, click to open command palette, pseudo input field, field-looking button, quick open trigger, click to open search overlay"
button-08,button,"""See more →"" / ""Continue →"" next to a group heading",LinkSeeMore (atom),label + onPress/href + decorative,"Button — this is a text-link, not a button","see more link, view all link, continue link, see more button, read more arrow link, view more text link, more link with arrow, section see-all link, expand list link"
button-09,button,"EXACTLY ONE way back, in the top-left corner",LinkBack (atom),label or target + onPress,Breadcrumbs if you need the full ancestor trail,"back link, back button, go back link, top left back arrow, return link, back navigation, previous page link, back to previous link, single back destination"
nav-01,nav,"2-5 panels at the SAME LEVEL, tabs only need text (+ icon/count)",Tabs (atom),items[] + selectedKey + ariaLabel,TabsExtended if the tabs don't need their own chrome,"tabs, tab navigation, tabbed panels, simple tabs, tab bar, switch between panels, tab list, text tabs with count, basic tabs"
nav-02,nav,"Tabs where EACH tab carries its own surface details (muted tone, hidden label on mobile)",TabsExtended (atom),children = the tree Tabs.ListContainer > Tabs.List > Tabs.Tab,Tabs — TabItem can't carry the caller's three axes,"custom tabs, tabs with custom styling, advanced tabs, styled tab list, tabs with icons and hidden mobile labels, rich tabs, tabs with per tab styling, extended tab component, tabs with their own surface"
nav-03,nav,TWO tab groups at either end of one row (+ an action cluster),Toolbar (composites/navigation),leftTabs/rightTabs (data) + leftEnd (node),don't expect a background/border/radius from it — it's a BARE flex row,"toolbar, split toolbar, tabs at both ends, dual tab row, left and right tab groups, action bar, top bar with tab groups"
nav-04,nav,That tab row LIVES INSIDE a card surface,DoubleTabsCard,same as Toolbar + children is the card body,don't hand-assemble SurfaceCard + Toolbar yourself,"tabs inside a card, card with tabs, tabbed card, dual tabs in a card, tab switcher inside a card panel, card with tab navigation, two tab groups in a card, tabbed panel card, boxed tabs, card containing tab bar"
nav-05,nav,"The ANCESTOR chain root → current, clickable back up",Breadcrumbs (atom),items[] + maxItems/collapseOnMobile/collapseFrom,LinkBack if you only need ONE destination to go back to,"breadcrumbs, breadcrumb trail, navigation path, page path trail, ancestor links, you are here trail, folder path navigation, hierarchy trail, back to parent pages, path crumbs, current location trail"
nav-06,nav,"A paginated list, TOTAL PAGE COUNT known",Pagination (atom),currentPage + totalPages + siblings,Stepper — that's an ordered flow,"pagination, page numbers, next previous page buttons, page navigation, numbered pages, jump to page, page selector, paged list controls, page 1 2 3 buttons, total pages indicator"
nav-07,nav,"A sequential multi-STEP flow, showing which step you're on",Stepper (composites/navigation),steps[] + currentIndex; onStepPress only on steps ALREADY DONE,Tabs — steps don't switch freely,"stepper, step progress, multi-step wizard, progress steps, step indicator, wizard steps, step by step flow, onboarding steps, checkout steps, step tracker, current step of total"
nav-08,nav,A single numbered step badge sitting alone inside content,StepBadge (atom),number + state: done|active|muted,Badge — that's an unread count hanging off a corner,"step badge, numbered step circle, step number bubble, step indicator dot, step marker, numbered circle badge, step status circle, single step number, done active step icon"
nav-09,nav,A set of separate ACTIONS collapsed into a trigger button,Menu (atom),items[] or sections[] + onAction + triggerLabel,Popover if what opens is a content panel,"dropdown menu, action menu, more options menu, kebab menu, context menu, three dot menu, options list, click to open menu, action list dropdown, overflow menu button"
nav-10,nav,A secondary content block that only shows on CLICK,Popover (atom),content (node) + heading + triggerLabel,"Tooltip — that's hover, doesn't accept interaction","popover, click to open panel, info popup, small panel on click, floating panel, click popup, contextual panel, mini panel, info box on click, click triggered panel"
nav-11,nav,A short annotation on HOVER/focus over an existing element,Tooltip (atom),children = TRIGGER + label,Popover — tooltip is max-width 260px,"tooltip, hover text, hint on hover, hover label, info on hover, mouseover hint, small hover popup, hover explanation, title attribute style tooltip, hover to see more info"
identity-01,identity,"The face of ONE person, image not guaranteed",Avatar (atom),src + seed/name + icon; fallback chain image→DiceBear→initials→icon,UserCell if you need the whole row of name + handle,"avatar, profile picture, user photo, person image, headshot, user icon, account picture, profile photo, face icon, user avatar image"
identity-02,identity,MULTIPLE overlapping faces + an overflow count,AvatarGroup (atom),items[] + max + total; size at the CLUSTER level,don't set size on each item (§12d),"avatar group, stacked avatars, overlapping profile pictures, group of user photos, team avatars, participant avatars, overlapping faces, avatar stack with overflow count, plus n avatars, member avatars row"
identity-03,identity,An identity ROW for one person in a list (+ a button/chip on the right),UserCell (atom),username + displayName/avatar/handle + trailing,Avatar if all you need is the face,"user row, person list item, user list entry, name and avatar row, contact row, member row, user info row, profile row in list, username with avatar, person row with action"
identity-04,identity,"An image URL that might be missing/broken, needing shimmer + fallback",Image (atom),src + alt + ratio + fallbackSrc,CoverImage if it's definitely a 16:9 cover,"image, picture, photo with fallback, broken image placeholder, image with loading shimmer, generic image component, responsive image, image with placeholder, thumbnail image, picture that might fail to load"
identity-05,identity,"The COVER image of an entity, house-standard frame",CoverImage (atom),src + alt (hardcoded 16:9 + rounded-2xl),Image — CoverImage doesn't accept ratio/fallbackSrc,"cover image, banner image, hero image, header photo, thumbnail banner, 16:9 image, course cover photo, cover photo, featured image, wide banner picture"
identity-06,identity,A tinted square signifying a TYPE/topic,IconTile (atom),icon (component) or src + tone + size,Avatar if it's a human face,"icon tile, category icon box, topic icon square, tinted icon badge, colored icon square, subject icon tile, type icon box, icon square with background, colored square icon"
identity-07,identity,A string payload that needs to be phone-scannable,QRCode (atom),data + size + icon,"a bitmap generated by an external CDN, requiring NETWORK access","qr code, scan code, qr image, scannable code, barcode square, qr for phone, scan to open link, qr code display, scan with camera code"
identity-08,identity,The brand mark,Logo (atom),only className (size + position),don't pass color/variant — there is exactly one color,"logo, brand mark, company logo, site logo, brand icon, logo image, app logo, header logo, brand identity mark"
identity-09,identity,An unread count / presence dot hanging off the corner of an element,Badge (atom),children (the element it hangs off of) + count/dot + placement,StepBadge — that's a stateful STEP number,"badge, notification badge, unread count, notification dot, count bubble, corner badge, presence dot, alert badge, number badge on icon, red dot indicator"
identity-10,identity,"A dividing line between two blocks (or an ""OR"" line)",Divider (atom),label (optional) + orientation,ThreadConnector if it's a curved line connecting avatars,"divider, horizontal line, section separator, or divider, dividing line, separator line, break line, hr line, or separator between blocks"
identity-11,identity,A curved path connecting a parent avatar down to a reply row,ThreadConnector (atom),only className (position); height hardcoded to h-4,don't change it to self-stretch,"thread connector, reply thread line, curved connector line, comment thread line, nested reply connector, thread indent line, conversation thread curve, reply line connecting avatars"
identity-12,identity,"A short line that needs a quick copy (a command, an API key)",SnippetIcon (atom),copyString + isCopied (pinned),don't use it inside a multi-line code block — that needs a Toast,"copy button, copy to clipboard icon, copy code snippet, copy api key, click to copy, copy icon, copy text button, clipboard copy icon, copy command line"
identity-13,identity,"The price of a PACKAGE/TIER, already formatted",PricePoint (atom),amount + original + period + size,InputCurrency — that's an input field,"price display, price tag, pricing amount, package price, tier price, formatted price, price with discount, plan price, cost display, price point, subscription price"
identity-14,identity,A cluster that is NOT a SurfaceCard and needs a sweeping highlight ring,HighlightCard (composite),children (wraps a whole already-built tree),if what I'm wrapping IS a SurfaceCard ⇒ the isHighlight prop,"highlighted card, glowing border card, spotlight card, featured card ring, highlight ring wrapper, sweeping glow card, recommended card highlight, emphasized card border, shiny border wrapper, glow effect around card"
